disease                , symptoms                                                                                    , severity, description                                                 , treatment
Common Cold            , "Cough,Runny Nose,Sore Throat,Sneezing,Mild Fever"                                          , low     , "Viral infection affecting nose and throat"                 , "Rest, fluids, over-the-counter medications"
Influenza              , "Fever,Headache,Muscle Aches,Fatigue,Cough,Sore Throat"                                     , medium  , "Contagious respiratory illness caused by influenza viruses", "Antiviral medications, rest, fluids, pain relievers"
COVID-19               , "Fever,Cough,Difficulty Breathing,Fatigue,Loss of Taste or Smell,Body Aches"                , high    , "Respiratory illness caused by SARS-CoV-2 virus"            , "Isolation, supportive care, antivirals if severe"
Pneumonia              , "Fever,Cough,Chest Pain,Difficulty Breathing,Fatigue,Sweating"                              , high    , "Lung infection causing inflammation of air sacs"           , "Antibiotics, rest, oxygen therapy if needed"
Bronchitis             , "Persistent Cough,Mucus Production,Chest Discomfort,Fatigue,Mild Fever"                     , medium  , "Inflammation of bronchial tubes"                           , "Rest, fluids, cough suppressants, inhaler"
Asthma                 , "Wheezing,Difficulty Breathing,Chest Tightness,Coughing"                                    , high    , "Chronic airway inflammation"                               , "Inhaler, avoid triggers, steroids if needed"
Allergic Rhinitis      , "Sneezing,Runny Nose,Itchy Eyes,Nasal Congestion"                                           , low     , "Allergic reaction to airborne substances"                  , "Antihistamines, avoid allergens, nasal sprays"
Sinusitis              , "Facial Pain,Nasal Congestion,Thick Nasal Discharge,Headache,Fever"                         , medium  , "Inflammation of sinus cavities"                            , "Decongestants, saline rinse, antibiotics if bacterial"
Strep Throat           , "Severe Sore Throat,Difficulty Swallowing,Fever,Swollen Lymph Nodes"                        , medium  , "Bacterial throat infection"                                , "Antibiotics, pain relievers, rest"
Tonsillitis            , "Sore Throat,Swollen Tonsils,Difficulty Swallowing,Fever,Bad Breath"                        , medium  , "Inflammation of the tonsils"                               , "Rest, fluids, pain relievers, antibiotics if bacterial"
Gastroenteritis        , "Nausea,Vomiting,Diarrhea,Abdominal Pain,Fever,Dehydration"                                 , medium  , "Stomach and intestinal inflammation"                       , "Hydration, rest, bland diet, electrolytes"
Food Poisoning         , "Nausea,Vomiting,Diarrhea,Abdominal Cramps,Fever"                                           , medium  , "Illness from contaminated food"                            , "Hydration, rest, avoid solid foods initially"
Gastritis              , "Abdominal Pain,Nausea,Bloating,Loss of Appetite,Indigestion"                               , low     , "Stomach lining inflammation"                               , "Antacids, avoid irritants, bland diet"
Peptic Ulcer           , "Burning Stomach Pain,Bloating,Nausea,Loss of Appetite,Heartburn"                           , medium  , "Open sore in stomach or intestinal lining"                 , "Antibiotics, acid reducers, avoid NSAIDs"
IBS                    , "Abdominal Pain,Bloating,Diarrhea,Constipation,Gas"                                         , low     , "Chronic digestive disorder"                                , "Diet changes, stress management, medications"
Appendicitis           , "Sharp Abdominal Pain,Nausea,Vomiting,Fever,Loss of Appetite"                               , critical, "Inflammation of the appendix"                              , "Emergency surgery (appendectomy)"
Migraine               , "Severe Headache,Nausea,Sensitivity to Light,Visual Disturbances,Dizziness"                 , medium  , "Recurrent severe headaches"                                , "Pain relievers, rest in dark room, preventive meds"
Tension Headache       , "Dull Headache,Pressure Around Head,Neck Stiffness,Mild Sensitivity to Light"               , low     , "Common headache from muscle tension"                       , "Pain relievers, stress relief, adequate sleep"
Meningitis             , "Severe Headache,Stiff Neck,Fever,Confusion,Sensitivity to Light"                           , critical, "Inflammation of brain/spinal cord membranes"               , "Emergency hospitalization, antibiotics or antivirals"
